relation,precision,recall,f1-score,support
no_relation,0.8742317822651449,0.8600734182681926,0.867094807880701,4631.0
org:dissolved,1.0,0.6363636363636364,0.7777777777777778,11.0
org:founded,0.6923076923076923,0.9,0.782608695652174,20.0
org:place_of_headquarters,0.5726141078838174,0.711340206185567,0.6344827586206897,194.0
org:alternate_names,0.7974683544303798,0.8076923076923077,0.802547770700637,78.0
org:member_of,0.5614035087719298,0.6153846153846154,0.5871559633027523,104.0
org:members,0.5948275862068966,0.5655737704918032,0.5798319327731093,122.0
org:political/religious_affiliation,0.8,0.6153846153846154,0.6956521739130435,13.0
org:product,0.6991525423728814,0.7021276595744681,0.7006369426751592,235.0
org:founded_by,0.875,0.6363636363636364,0.7368421052631579,11.0
org:top_members/employees,0.8032036613272311,0.6842105263157895,0.7389473684210527,513.0
org:number_of_employees/members,0.6818181818181818,0.8823529411764706,0.7692307692307693,17.0
per:date_of_birth,0.6,0.75,0.6666666666666666,12.0
per:date_of_death,0.5416666666666666,1.0,0.7027027027027027,13.0
per:place_of_birth,0.7692307692307693,0.9090909090909092,0.8333333333333334,11.0
per:place_of_death,0.8333333333333334,1.0,0.9090909090909092,10.0
per:place_of_residence,0.4895833333333333,0.3790322580645161,0.4272727272727272,124.0
per:origin,0.6326530612244898,0.788135593220339,0.7018867924528301,118.0
per:employee_of,0.5958083832335329,0.8223140495867769,0.6909722222222222,242.0
per:schools_attended,0.7,0.6363636363636364,0.6666666666666666,11.0
per:alternate_names,0.8586956521739131,0.7596153846153846,0.8061224489795918,104.0
per:parents,0.6666666666666666,0.8888888888888888,0.7619047619047619,27.0
per:children,0.7027027027027027,0.9629629629629628,0.8125,27.0
per:siblings,0.6451612903225806,0.8333333333333334,0.7272727272727273,24.0
per:spouse,0.6,0.8780487804878049,0.7128712871287128,41.0
per:other_family,0.6,0.3529411764705882,0.4444444444444444,34.0
per:colleagues,0.6292134831460674,0.509090909090909,0.5628140703517588,220.0
per:product,0.7014925373134329,0.7014925373134329,0.7014925373134329,67.0
per:religion,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
per:title,0.9016393442622952,0.9192200557103064,0.9103448275862068,718.0
accuracy,0.8112041210560206,0.8112041210560206,0.8112041210560206,0.8112041210560206
macro avg,0.7065884139590574,0.7415286448954141,0.7115843942654786,7765.0
weighted avg,0.8156572120337733,0.8112041210560206,0.8110464212894617,7765.0
